City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Alta Floresta,BR,70.18,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
266,Iturama,BR,73.0,moderate rain,-19.73,-50.2,República AmaZonas
268,Boyolangu,ID,87.04,scattered clouds,-8.12,111.89,Yos ega cv
273,Villamontes,BO,79.11,broken clouds,-21.25,-63.5,Hotel Raldes
277,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
278,Ahuimanu,US,82.4,overcast clouds,21.44,-157.84,Paradise Bay Resort
279,Sao Felix Do Xingu,BR,74.26,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
280,Hirado,JP,69.8,clear sky,33.36,129.55,Samson Hotel
281,Longhua,CN,72.34,overcast clouds,23.61,114.19,Huadu Hotel
282,Batticaloa,LK,79.48,light rain,7.71,81.69,Grand Star Guest House
283,Port Moresby,PG,87.8,haze,-9.44,147.18,Lamana Hotel
285,Shimoda,JP,66.2,few clouds,34.67,138.95,Shimoda Tokyu Hotel
289,Katsuura,JP,66.0,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
292,Coruripe,BR,76.96,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
293,Kaeo,NZ,68.54,clear sky,-35.1,173.78,Bushido Lodge
294,Sao Filipe,CV,79.88,few clouds,14.9,-24.5,Tortuga B&B
298,San Cristobal,VE,67.5,moderate rain,7.77,-72.22,Pirineos
300,Bharatpur,IN,74.97,clear sky,27.22,77.48,OYO 22446 Sonar Haveli
303,Sibolga,ID,87.28,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
307,Amahai,ID,86.86,moderate rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
309,Luba,GQ,75.2,few clouds,3.46,8.55,
314,Fukue,JP,68.0,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
318,Les Cayes,HT,77.04,overcast clouds,18.2,-73.75,Villa Orphee
324,Mankono,CI,69.51,overcast clouds,8.06,-6.19,Hotel Cajoux
325,Muroto,JP,71.6,clear sky,33.28,134.15,Oota Ryokan
327,Moussoro,TD,77.22,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
329,Soyo,AO,77.86,light rain,-6.13,12.37,Hotel Mpampa
330,Garissa,KE,77.36,light rain,-0.45,39.64,Sharif Plaza Hotel
