City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
397,Pacific Grove,US,61.0,clear sky,36.62,-121.92,Lovers Point Inn
400,Vung Tau,VN,79.52,broken clouds,10.35,107.08,Seaside Resort
401,Dubbo,AU,67.28,broken clouds,-32.25,148.62,Comfort Inn Blue Lagoon
402,Havelock,US,73.0,scattered clouds,34.88,-76.9,Sherwood Motel
403,Tessalit,ML,76.68,clear sky,20.2,1.01,
405,Nizwa,OM,68.49,clear sky,22.93,57.53,Orient Apartments
406,Chibombo,ZM,76.06,overcast clouds,-14.66,28.07,Chibombo District Council Guest House
408,Cowra,AU,66.06,broken clouds,-33.83,148.68,Cowra Motor Inn
409,Hanyang,CN,64.99,broken clouds,32.14,105.51,Forestry Hostel
412,Camacha,PT,69.8,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
414,Atambua,ID,75.47,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
415,Walvis Bay,,66.2,clear sky,-22.96,14.51,Oyster Box Guesthouse
417,Santa Vitoria Do Palmar,BR,74.61,overcast clouds,-33.52,-53.37,Hostel Comodoro
420,Ulladulla,AU,69.8,overcast clouds,-35.35,150.47,Sandpiper Motel
424,Maltahohe,,74.1,clear sky,-24.83,16.98,Maltahöhe Hotel
425,Nanchong,CN,64.44,clear sky,30.8,106.08,Marine Una Century Hotel
426,Bengkulu,ID,77.36,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
427,Santa Rosa,PH,79.0,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
430,Bria,CF,74.17,scattered clouds,6.54,21.99,
432,Lao Cai,VN,66.54,broken clouds,22.48,103.95,Legend Hotel
434,Katobu,ID,75.92,broken clouds,-4.94,122.53,La Ode Husein
435,Burnie,AU,60.01,broken clouds,-41.07,145.92,Beachfront Voyager Motor Inn
436,Antofagasta,CL,66.2,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
437,Port-Gentil,GA,75.2,thunderstorm with light rain,-0.72,8.78,Fengshui Residence
443,Kalengwa,ZM,68.45,scattered clouds,-13.47,25.0,
446,Coquimbo,CL,62.6,scattered clouds,-29.95,-71.34,Hotel San Juan
447,Moranbah,AU,74.61,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
