City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
206,Shache,CN,38.42,77.24,42.73,54,97,6.49,overcast clouds
207,Xining,CN,36.62,101.77,43.52,51,11,1.95,few clouds
208,Villazon,BO,-22.09,-65.59,73.08,14,0,26.22,clear sky
209,Puerto Leguizamo,CO,-0.19,-74.78,82.26,73,100,2.71,overcast clouds
210,Eureka,US,40.8,-124.16,60.01,47,100,4.0,overcast clouds
211,Forrest City,US,35.01,-90.79,60.8,35,1,11.41,clear sky
212,Wencheng,CN,33.06,113.8,54.03,74,0,2.1,clear sky
213,Guerrero Negro,MX,27.98,-114.06,75.16,36,0,2.1,clear sky
214,Apiai,BR,-24.51,-48.84,86.13,39,10,4.61,clear sky
215,Half Moon Bay,US,37.46,-122.43,60.8,44,1,4.7,clear sky
216,Olafsvik,IS,64.89,-23.71,35.67,86,100,16.33,overcast clouds
217,Narsaq,GL,60.92,-46.05,16.95,74,0,6.06,clear sky
218,Leh,IN,34.17,77.58,28.56,80,99,4.47,overcast clouds
219,East London,ZA,-33.02,27.91,66.2,82,20,3.36,few clouds
220,Dongsheng,CN,39.82,109.98,44.4,63,1,11.68,clear sky
221,Rio Grande City,US,26.38,-98.82,82.99,71,33,11.01,scattered clouds
222,Melo,UY,-32.37,-54.18,78.17,71,99,9.15,light rain
223,Sayville,US,40.74,-73.08,57.2,62,75,20.8,broken clouds
224,Taoudenni,ML,22.68,-3.98,80.78,18,40,11.7,scattered clouds
225,Abu Zabad,SD,12.35,29.25,77.29,20,0,11.48,clear sky
226,Los Llanos De Aridane,ES,28.66,-17.92,77.0,69,20,8.05,few clouds
227,Xacmaz,AZ,41.46,48.81,51.76,86,100,12.53,light rain
228,Puerto Colombia,CO,10.99,-74.95,84.2,66,90,2.24,overcast clouds
229,Pafos,CY,34.77,32.42,60.8,72,20,9.17,few clouds
230,Lompoc,US,34.64,-120.46,62.6,71,1,3.36,clear sky
231,Tupik,RU,54.43,119.93,4.66,87,0,1.88,clear sky
232,Quelimane,MZ,-17.88,36.89,77.0,69,0,9.17,clear sky
233,Sunland Park,US,31.8,-106.58,62.01,12,1,5.75,clear sky
234,Adavere,EE,58.71,25.9,35.01,86,91,8.05,overcast clouds
235,Katsuura,JP,35.13,140.3,66.99,67,75,5.82,broken clouds
236,Calabar,NG,4.95,8.32,77.76,89,90,4.74,overcast clouds
237,Sioux Lookout,CA,50.1,-91.92,30.2,92,90,13.87,mist
238,Yerbogachen,RU,61.28,108.01,-0.96,92,61,7.63,broken clouds
239,Palmas,BR,-10.21,-48.36,93.2,46,40,9.17,scattered clouds
240,Shelburne,CA,44.08,-80.2,48.99,96,100,24.43,overcast clouds
241,Champerico,GT,14.3,-91.92,86.0,66,0,4.7,clear sky
242,Kilimatinde,TZ,-5.85,34.95,75.74,64,100,2.71,light rain
243,Tual,ID,-5.67,132.75,83.52,78,68,13.8,light rain
244,Shebunino,RU,46.43,141.86,41.52,73,25,10.96,scattered clouds
245,Wittlich,DE,49.98,6.88,57.0,100,20,17.22,light rain
246,Vostok,RU,46.49,135.88,20.95,96,49,7.34,scattered clouds
247,Port Blair,IN,11.67,92.75,79.9,79,34,9.98,scattered clouds
248,Conceicao Do Mato Dentro,BR,-19.04,-43.42,80.26,68,88,3.76,moderate rain
249,Gejiu,CN,23.31,103.16,48.02,100,5,1.45,clear sky
250,Jalu,LY,29.03,21.55,63.52,53,0,6.22,clear sky
251,Lagoa,PT,39.05,-27.98,62.73,77,1,7.92,clear sky
252,Yakeshi,CN,49.28,120.73,10.49,93,11,4.36,few clouds
253,Robertsport,LR,6.75,-11.37,81.72,77,0,10.58,clear sky
254,Oriximina,BR,-1.77,-55.87,94.21,44,65,6.85,broken clouds
255,Harper,LR,4.38,-7.72,80.51,81,46,8.32,scattered clouds
256,Adrar,MR,20.5,-10.07,83.98,15,72,10.65,broken clouds
257,Hurghada,EG,27.26,33.81,75.2,23,0,11.41,clear sky
258,Opelousas,US,30.53,-92.08,70.0,30,40,21.92,scattered clouds
259,Asopos,GR,36.73,22.87,59.68,70,34,2.68,scattered clouds
260,Camopi,GF,3.17,-52.32,83.48,83,69,4.72,broken clouds
261,Uchaly,RU,54.3,59.45,7.03,91,0,3.96,clear sky
262,Longyearbyen,SJ,78.22,15.64,21.2,67,75,25.28,light snow
263,Hohhot,CN,40.81,111.65,32.0,60,0,6.71,clear sky
264,Takoradi,GH,4.88,-1.76,80.51,80,31,7.83,scattered clouds
265,Poum,NC,-20.23,164.02,76.71,84,0,12.01,clear sky
266,Westport,US,41.14,-73.36,55.4,62,90,13.87,overcast clouds
267,Tombouctou,ML,20.0,-3.0,82.9,15,0,9.22,clear sky
268,Mackay,AU,-21.15,149.2,72.0,94,40,4.7,scattered clouds
269,Xinan,CN,26.72,119.86,63.99,80,28,6.11,scattered clouds
270,Bethel,US,41.37,-73.41,53.01,66,75,11.41,broken clouds
271,La Ronge,CA,55.1,-105.28,14.0,72,13,3.36,few clouds
272,La Sarre,CA,48.8,-79.2,34.5,95,100,19.69,heavy intensity rain
273,Barabinsk,RU,55.36,78.36,23.02,98,99,11.83,overcast clouds
274,Cerro Largo,BR,-28.15,-54.74,80.01,65,100,5.55,overcast clouds
275,Nusaybin,TR,37.08,41.22,57.2,50,75,4.7,broken clouds
276,Ambilobe,MG,-13.2,49.05,75.69,83,61,4.09,light rain
277,Faya,SA,18.39,42.45,62.6,82,0,4.7,clear sky
278,Semirom,IR,31.42,51.57,37.89,74,30,4.25,scattered clouds
279,Kurchum,KZ,48.57,83.65,32.86,89,100,6.53,overcast clouds
280,Vega De Alatorre,MX,20.03,-96.63,82.42,70,41,6.4,scattered clouds
281,Show Low,US,34.25,-110.03,60.01,15,1,1.81,clear sky
282,Soyo,AO,-6.13,12.37,78.53,84,58,10.42,broken clouds
283,Tanout,NE,14.97,8.89,79.23,20,12,11.81,few clouds
284,Ilulissat,GL,69.22,-51.1,6.8,32,40,19.46,scattered clouds
285,Vila Velha,BR,-20.33,-40.29,75.2,94,75,8.05,broken clouds
286,Surovikino,RU,48.61,42.85,29.73,61,100,17.52,overcast clouds
287,Zheleznodorozhnyy,RU,55.75,38.0,32.0,98,40,6.71,scattered clouds
288,Palembang,ID,-2.92,104.75,76.24,93,82,1.83,broken clouds
289,Amapa,BR,1.0,-52.0,90.59,49,100,3.94,overcast clouds
290,Anadyr,RU,64.75,177.48,32.0,96,40,20.13,scattered clouds
291,Deloraine,AU,-41.53,146.67,55.0,97,76,1.12,light rain
292,Carnarvon,AU,-24.87,113.63,66.2,72,0,20.8,clear sky
293,Pisco,PE,-13.7,-76.22,69.8,68,20,12.75,few clouds
294,Te Anau,NZ,-45.42,167.72,53.13,90,85,3.38,overcast clouds
295,Sanchazi,CN,42.08,126.6,35.74,82,94,2.75,overcast clouds
296,Lebork,PL,54.54,17.75,53.01,87,0,5.82,clear sky
297,Novoagansk,RU,61.94,76.66,-5.51,89,0,1.34,clear sky
298,Belomorsk,RU,64.52,34.77,34.99,84,100,10.63,overcast clouds
299,Mbanza-Ngungu,CD,-5.25,14.87,72.68,93,95,4.47,moderate rain
300,Yining,CN,29.04,114.56,57.18,85,5,0.85,clear sky
301,Shahrud,IR,36.42,54.98,40.5,67,94,1.52,overcast clouds
302,Grindavik,IS,63.84,-22.43,35.6,74,0,6.93,clear sky
303,Port Moresby,PG,-9.44,147.18,75.2,94,20,3.36,few clouds
304,Lalawigan,PH,11.59,125.47,80.11,85,32,5.3,scattered clouds
305,Sao Filipe,CV,14.9,-24.5,82.4,56,99,10.89,overcast clouds
306,Hukuntsi,BW,-24.0,21.75,81.61,34,100,9.86,overcast clouds
307,Lure,FR,47.75,6.5,57.2,87,74,17.22,moderate rain
308,Oranjestad,AW,12.52,-70.03,87.8,70,40,13.87,scattered clouds
309,Ziniare,BF,12.58,-1.3,93.2,23,0,8.05,clear sky
310,Bojonegoro,ID,-7.15,111.88,78.53,83,92,4.25,overcast clouds
311,Bang Saphan,TH,11.21,99.51,77.0,70,69,3.18,broken clouds
312,Pochutla,MX,15.74,-96.47,89.6,55,20,6.26,few clouds
313,Contai,IN,21.78,87.75,73.71,51,5,5.7,clear sky
314,Salalah,OM,17.02,54.09,80.6,65,0,2.71,clear sky
315,Clyde River,CA,70.47,-68.59,10.4,72,90,18.34,overcast clouds
316,Anastacio,BR,-20.48,-55.81,98.1,35,77,6.13,broken clouds
317,Srandakan,ID,-7.94,110.25,79.0,86,98,7.52,overcast clouds
318,Gat,IL,31.61,34.76,60.01,100,11,1.99,few clouds
319,Hambantota,LK,6.12,81.12,79.77,85,97,8.5,light rain
320,Fukue,JP,32.69,128.84,68.72,69,50,7.2,scattered clouds
321,Padang,ID,-0.95,100.35,78.26,83,100,6.38,light rain
